region,start_date,end_date,uhi,ndvi_mean,ndvi_std,evi_mean,evi_std,evi2_mean,evi2_std,population_mean,population_std,albedo_mean,albedo_std,no2_mean,no2_std
Region_12,2018-11-27,2018-12-27,0.373315091299947,0.44047914566903007,0.07743120827754901,0.23165941595725487,0.0458718797887891,0.21678675796486646,0.04396488896908889,7083.15982863112,1625.731263817848,134.7581736563885,12.85490951321395,0.00012294015511616951,1.0528353133295597e-05
Region_13,2018-12-27,2019-01-26,0.4930372318438927,0.3771574597841868,0.08722956479644318,0.21857216638669824,0.05846658674797768,0.2003551154514137,0.056733343847519685,7083.15982863112,1625.731263817848,132.41883105896633,13.163772435975801,0.00011160171492838151,3.434179078125972e-06
Region_14,2019-01-26,2019-02-25,0.6586747210745116,0.4146616253357249,0.09842374344589802,0.23462710379713209,0.07676876786896468,0.21758964211485357,0.07436122260566834,7083.15982863112,1625.731263817848,131.23011551195617,14.36597221444782,0.00011399916850099574,7.1255537189217786e-06
Region_15,2019-02-25,2019-03-27,1.3168459130225223,0.4401880946957834,0.0972175519264749,0.26867397360703826,0.07341909085665421,0.24904252199413487,0.0710969225866667,7083.15982863112,1625.731263817848,128.3164782810884,13.439284548278776,8.843656184387883e-05,2.4670855781183555e-06
Region_16,2019-03-27,2019-04-26,1.7674752952455535,0.4190720888022097,0.06709308969516387,0.27012544913589387,0.04182964944854607,0.24821444210346486,0.040084883287722334,7083.15982863112,1625.731263817848,130.71539636895096,10.668843332339494,0.00010716041289203748,4.890351449474991e-06
Region_17,2019-04-26,2019-05-26,0.6362504626338605,0.3983415746092305,0.06585015639913684,0.250037391452894,0.037790806989158404,0.2291665874213481,0.0340878937268738,7083.15982863112,1625.731263817848,132.92188404559218,11.300462624369326,0.00011218335323965365,4.867384053575314e-06
Region_18,2019-05-26,2019-06-25,0.42842026495680585,0.3630166272812687,0.055390194124718496,0.23825513196480957,0.03580595271387524,0.2163257191394054,0.030666407578049823,7083.15982863112,1625.731263817848,132.30076967609074,11.163049307744037,0.0001249220255578705,4.622867460541062e-06
Region_19,2019-06-25,2019-07-25,0.5742395974040377,0.46587337286108826,0.07103942132298034,0.31569792230162563,0.04374534664803371,0.2922055092104889,0.042663260154036944,7083.15982863112,1625.731263817848,132.7095857660924,9.281012752602457,0.00011532223581237945,1.982416792024036e-06
Region_20,2019-07-25,2019-08-24,1.3585769752713155,0.5996316957549185,0.09604688431518228,0.4128957250234888,0.08384854969513308,0.39092893118469385,0.08324363646855087,7083.15982863112,1625.731263817848,130.97246098540177,12.153263514122473,9.544963532744812e-05,2.383308604191009e-06
Region_21,2019-08-24,2019-09-23,1.2468030226692974,0.5374821178430094,0.08936072020113824,0.37905103422258923,0.07465983314166015,0.3539862034848961,0.07187495350169444,7083.15982863112,1625.731263817848,133.16131000098295,12.76056752578674,9.730687021419749e-05,6.316481370731677e-06
Region_22,2019-09-23,2019-10-23,0.9291138279892017,0.5179317569683684,0.0803351971727901,0.3209766866915316,0.05554727875009344,0.2998035370934527,0.053906944375403346,7083.15982863112,1625.731263817848,136.61817232772447,12.093101954442321,9.756509527026315e-05,4.5371505465793285e-06
Region_23,2019-10-23,2019-11-22,0.38508944677872137,0.46724651012157276,0.07986749135753779,0.26522149730945527,0.04371705827685104,0.247598892463628,0.04176226074651643,7083.15982863112,1625.731263817848,135.97864457288196,11.273977497565319,0.00011077775038103313,5.824715916919062e-06
