Date,UHI,NDVI,Population,Albedo,NO2_Total,NO2_Tropospheric,NO2_Stratospheric,Aerosol_Index,Cloud_Fraction,GHSL_Built
2019-11-04,-0.15453689388616354,4162.0,7332.75341796875,0.1290625,0.00011466692771857373,5.9985990982663275e-05,3.833782833439051e-05,-0.9300414528709101,0.1462125781784904,13.0
2019-11-20,0.40460014054812987,4381.0,7332.75341796875,0.13475,0.00011014405726238594,8.447852003193681e-05,3.408057592111791e-05,-1.0845410579392554,0.12467150054253662,13.0
2019-12-06,0.5237652846099969,4037.0,7332.75341796875,0.11675,0.00010543909131172963,8.1855195913167e-05,3.30428861389544e-05,-1.0803947292538807,0.27782802347249647,13.0
2019-12-22,-0.9363808854533033,4232.0,7332.75341796875,0.11953846153846154,0.00011225412951354044,8.406524901043139e-05,3.5670896826551054e-05,-1.1062284388562817,0.2817714830325794,13.0
2020-01-07,0.007603654251589376,3674.0,7332.75341796875,0.1153125,0.0001206966815242414,8.032020703946105e-05,3.4296045549397524e-05,-1.2690214184032096,0.2153184495896875,13.0
2020-01-23,0.3852817990161306,3633.0,7332.75341796875,0.112,8.98843478683495e-05,6.244630999700142e-05,3.425085977893889e-05,-1.2697655469020463,0.23608668471938188,13.0
2020-02-08,1.573572733661294,3364.0,7332.75341796875,0.11575,9.793735013397362e-05,5.383734199305085e-05,3.9162282943144014e-05,-1.3338497725668634,0.09568495047148132,13.0
2020-02-24,0.03552073085027985,3264.0,7332.75341796875,0.12325,9.309131997317156e-05,5.76527825443469e-05,4.11987983258627e-05,-1.195731392252225,0.21229456438857516,13.0
2020-03-11,2.0452143359100496,3520.0,7332.75341796875,0.117,8.508312750059736e-05,4.181057723258447e-05,4.620339014214176e-05,-1.3550839222677233,0.11110112374876194,13.0
2020-03-27,1.8399212930428597,3556.0,7332.75341796875,0.1240625,6.440350749760446e-05,2.0558256623072166e-05,4.464962457213366e-05,-0.9302699834460234,0.20160469374826978,13.0
2020-04-12,0.3765734364019906,3880.0,7332.75341796875,0.1293125,8.449386388432919e-05,3.945317635962819e-05,4.881423575215156e-05,-1.1024707811402006,0.15538419547940638,13.0
2020-04-28,0.23630077301474728,3946.0,7332.75341796875,0.1228125,9.237168097310419e-05,4.091741303728304e-05,5.1567144781094756e-05,-1.1212772610451287,0.08478127672596399,13.0
2020-05-14,-1.7579494026704054,3454.0,7332.75341796875,0.122,9.487977059035274e-05,4.938179060979154e-05,5.108121878324334e-05,-0.6339583151281015,0.13527979922338873,13.0
2020-05-30,-0.4123696416022682,3936.0,7332.75341796875,0.12325,0.00010313723641968714,4.8232711220472085e-05,5.548270887024006e-05,-1.310566039927619,0.15410678428314228,13.0
2020-06-15,0.5310892480674525,4085.0,7332.75341796875,0.12075,0.00010653695342421185,4.896938594611064e-05,5.4286220179923584e-05,-1.0527640697008014,0.1060581012314794,13.0
2020-07-01,2.7216669009135686,4716.0,7332.75341796875,0.1208125,9.119467253599546e-05,4.3865995192180354e-05,4.9322023113232234e-05,-1.5801033905224056,0.10769206397052399,13.0
2020-07-17,2.300498945888954,4727.0,7332.75341796875,0.122375,9.285395232060952e-05,3.340418046245776e-05,4.833000415678244e-05,-1.6456594275122443,0.35053907257186434,13.0
2020-08-02,-0.3498030108904864,4860.0,7332.75341796875,0.12277777777777778,8.890566274213513e-05,4.76322536323767e-05,4.510749642085274e-05,-1.8940603823431492,0.18728200713018575,13.0
2020-08-18,2.780444619010215,4985.0,7332.75341796875,0.1265,7.989954617793442e-05,2.661869780768536e-05,4.2669366393217945e-05,-1.5151619296254257,0.3962822394218643,13.0
